date,quantity,status
2020-01-01,55.000000000000014,recorded
2020-01-02,2028.0,recorded
2020-01-03,2848.0000000000014,recorded
2020-01-04,2153.9999999999995,recorded
2020-01-05,,negative_review
2020-01-06,416.00000000000006,recorded
2020-01-07,3904.0000000000027,recorded
2020-01-08,3942.0,recorded
2020-01-09,2667.0000000000005,recorded
2020-01-10,3437.999999999999,recorded
2020-01-11,1694.0000000000007,recorded
2020-01-12,2776.000000000001,recorded
2020-01-13,3815.000000000004,recorded
2020-01-14,2622.0000000000014,recorded
2020-01-15,3715.0000000000045,recorded
2020-01-16,3056.0000000000014,recorded
2020-01-17,3263.9999999999995,recorded
2020-01-18,1743.0,recorded
2020-01-19,1203.0000000000002,recorded
2020-01-20,3542.0000000000014,recorded
2020-01-21,3029.0000000000027,recorded
2020-01-22,5989.0,recorded
2020-01-23,2819.0000000000005,recorded
2020-01-24,3592.0000000000014,recorded
2020-01-25,1871.0000000000007,recorded
2020-01-26,2285.0,recorded
2020-01-27,3570.0000000000023,recorded
2020-01-28,2453.0000000000005,recorded
2020-01-29,2821.0,recorded
2020-01-30,4039.0000000000027,recorded
2020-01-31,3540.0000000000023,recorded
2020-02-01,1761.0000000000002,recorded
2020-02-02,2716.0000000000005,recorded
2020-02-03,4122.000000000005,recorded
2020-02-04,2695.999999999999,recorded
2020-02-05,4719.999999999999,recorded
2020-02-06,3304.000000000002,recorded
2020-02-07,3577.0000000000014,recorded
2020-02-08,1861.0,recorded
2020-02-09,1864.9999999999998,recorded
2020-02-10,3388.0000000000014,recorded
2020-02-11,2446.999999999999,recorded
2020-02-12,3281.0000000000045,recorded
2020-02-13,2928.0000000000014,recorded
2020-02-14,3834.0000000000005,recorded
2020-02-15,1804.0000000000007,recorded
2020-02-16,998.0,recorded
2020-02-17,4399.0,recorded
2020-02-18,2226.000000000001,recorded
2020-02-19,3927.0000000000023,recorded
2020-02-20,3185.000000000001,recorded
2020-02-21,3372.000000000001,recorded
2020-02-22,1538.0,recorded
2020-02-23,683.0,recorded
2020-02-24,3967.0000000000014,recorded
2020-02-25,2776.0000000000023,recorded
2020-02-26,4519.0,recorded
2020-02-27,3998.0000000000005,recorded
2020-02-28,3747.0000000000036,recorded
2020-02-29,2044.9999999999993,recorded
2020-03-01,,negative_review
2020-03-02,2375.9999999999995,recorded
2020-03-03,4485.000000000005,recorded
2020-03-04,2388.0000000000005,recorded
2020-03-05,3430.999999999999,recorded
2020-03-06,2983.9999999999995,recorded
2020-03-07,1570.9999999999993,recorded
2020-03-08,1013.0,recorded
2020-03-09,3655.000000000001,recorded
2020-03-10,3516.0000000000014,recorded
2020-03-11,3676.0,recorded
2020-03-12,2858.0000000000005,recorded
2020-03-13,5205.000000000004,recorded
2020-03-14,3139.9999999999986,recorded
2020-03-15,1986.0,recorded
2020-03-16,4998.000000000001,recorded
2020-03-17,6619.000000000005,recorded
2020-03-18,3142.0000000000014,recorded
2020-03-19,3248.0000000000014,recorded
2020-03-20,3071.0,recorded
2020-03-21,2360.9999999999986,recorded
2020-03-22,3492.9999999999995,recorded
2020-03-23,5476.000000000002,recorded
2020-03-24,2289.9999999999995,recorded
2020-03-25,1126.0,recorded
2020-03-26,3611.000000000001,recorded
2020-03-27,3654.000000000001,recorded
2020-03-28,1974.9999999999977,recorded
2020-03-29,629.0,recorded
2020-03-30,3886.000000000001,recorded
2020-03-31,4839.000000000001,recorded
2020-04-01,3731.0000000000055,recorded
2020-04-02,2362.0000000000005,recorded
2020-04-03,4252.000000000002,recorded
2020-04-04,1915.9999999999989,recorded
2020-04-05,2163.0,recorded
2020-04-06,2777.0000000000005,recorded
2020-04-07,1903.0000000000005,recorded
2020-04-08,1976.999999999999,recorded
2020-04-09,5072.000000000002,recorded
2020-04-10,2756.0,recorded
2020-04-11,1636.999999999999,recorded
2020-04-12,935.0,recorded
2020-04-13,3655.0000000000023,recorded
2020-04-14,2398.0,recorded
2020-04-15,1922.0000000000005,recorded
2020-04-16,2853.0000000000005,recorded
2020-04-17,3480.0,recorded
2020-04-18,1563.0000000000002,recorded
2020-04-19,,missing_date
2020-04-20,716.0000000000001,recorded
2020-04-21,2276.000000000001,recorded
2020-04-22,3224.9999999999995,recorded
2020-04-23,2545.0,recorded
2020-04-24,2710.0000000000014,recorded
2020-04-25,1727.9999999999995,recorded
2020-04-26,644.0,recorded
2020-04-27,3652.0000000000023,recorded
2020-04-28,3214.0000000000036,recorded
2020-04-29,5162.000000000002,recorded
2020-04-30,2064.0,recorded
2020-05-01,1314.0,recorded
2020-05-02,2612.9999999999995,recorded
2020-05-03,1458.0,recorded
2020-05-04,3717.0000000000023,recorded
2020-05-05,3953.0000000000005,recorded
2020-05-06,5374.999999999999,recorded
2020-05-07,5252.999999999999,recorded
2020-05-08,4535.000000000004,recorded
2020-05-09,2327.0,recorded
2020-05-10,3058.0000000000005,recorded
2020-05-11,4566.000000000001,recorded
2020-05-12,3342.0000000000023,recorded
2020-05-13,5099.999999999999,recorded
2020-05-14,5670.0,recorded
2020-05-15,3803.000000000005,recorded
2020-05-16,2307.0000000000005,recorded
2020-05-17,493.0000000000001,recorded
2020-05-18,5244.999999999999,recorded
2020-05-19,5057.000000000002,recorded
2020-05-20,4734.999999999999,recorded
2020-05-21,5942.000000000005,recorded
2020-05-22,4604.999999999999,recorded
2020-05-23,2604.0000000000005,recorded
2020-05-24,1583.0,recorded
2020-05-25,4933.000000000001,recorded
2020-05-26,3715.0,recorded
2020-05-27,5712.0,recorded
2020-05-28,3321.000000000001,recorded
2020-05-29,3784.0000000000027,recorded
2020-05-30,2072.9999999999995,recorded
2020-05-31,2219.0000000000005,recorded
2020-06-01,5580.000000000004,recorded
2020-06-02,2654.9999999999995,recorded
2020-06-03,4318.000000000001,recorded
2020-06-04,3060.9999999999986,recorded
2020-06-05,3609.0000000000005,recorded
2020-06-06,1936.9999999999986,recorded
2020-06-07,1455.0,recorded
2020-06-08,2522.0,recorded
2020-06-09,4017.0000000000023,recorded
2020-06-10,3573.9999999999995,recorded
2020-06-11,4876.000000000003,recorded
2020-06-12,2809.0000000000005,recorded
2020-06-13,1890.999999999999,recorded
2020-06-14,2018.0,recorded
2020-06-15,3302.0000000000023,recorded
2020-06-16,2201.999999999999,recorded
2020-06-17,3251.000000000001,recorded
2020-06-18,5865.000000000004,recorded
2020-06-19,3287.0000000000014,recorded
2020-06-20,1918.0,recorded
2020-06-21,2474.0,recorded
2020-06-22,3812.999999999999,recorded
2020-06-23,2406.000000000001,recorded
2020-06-24,4472.000000000001,recorded
2020-06-25,4292.000000000002,recorded
2020-06-26,3240.000000000002,recorded
2020-06-27,1765.0000000000005,recorded
2020-06-28,2357.0,recorded
2020-06-29,3151.0000000000005,recorded
2020-06-30,3228.0000000000014,recorded
2020-07-01,3465.000000000002,recorded
2020-07-02,5039.0,recorded
2020-07-03,3942.0000000000014,recorded
2020-07-04,2397.0000000000014,recorded
2020-07-05,513.0,recorded
2020-07-06,5987.000000000005,recorded
2020-07-07,3358.0000000000005,recorded
2020-07-08,4247.000000000002,recorded
2020-07-09,2755.0000000000014,recorded
2020-07-10,3553.0500000000015,recorded
2020-07-11,1778.0,recorded
2020-07-12,1188.0000000000002,recorded
2020-07-13,4693.000000000001,recorded
2020-07-14,3217.0,recorded
2020-07-15,2638.0000000000014,recorded
2020-07-16,5863.000000000004,recorded
2020-07-17,3075.000000000001,recorded
2020-07-18,1450.999999999999,recorded
2020-07-19,2087.0,recorded
2020-07-20,3044.0000000000014,recorded
2020-07-21,2849.000000000001,recorded
2020-07-22,2100.9999999999986,recorded
2020-07-23,4628.000000000004,recorded
2020-07-24,3068.000000000002,recorded
2020-07-25,1428.9999999999995,recorded
2020-07-26,890.0,recorded
2020-07-27,3954.000000000003,recorded
2020-07-28,3214.0000000000027,recorded
2020-07-29,3071.0,recorded
2020-07-30,3009.000000000002,recorded
2020-07-31,2433.9999999999995,recorded
2020-08-01,1459.9999999999993,recorded
2020-08-02,1843.0,recorded
2020-08-03,4710.000000000002,recorded
2020-08-04,2171.000000000001,recorded
2020-08-05,2770.9999999999995,recorded
2020-08-06,3611.000000000001,recorded
2020-08-07,3581.0000000000014,recorded
2020-08-08,1224.9999999999993,recorded
2020-08-09,1866.0,recorded
2020-08-10,3457.0,recorded
2020-08-11,2394.9999999999995,recorded
2020-08-12,2354.0000000000014,recorded
2020-08-13,5061.000000000001,recorded
2020-08-14,1799.0000000000002,recorded
2020-08-15,109.00000000000001,recorded
2020-08-16,1264.0,recorded
2020-08-17,3464.0000000000027,recorded
2020-08-18,2295.0,recorded
2020-08-19,2765.0,recorded
2020-08-20,4912.000000000002,recorded
2020-08-21,2381.0,recorded
2020-08-22,1503.9999999999995,recorded
2020-08-23,1149.0000000000002,recorded
2020-08-24,3210.0000000000023,recorded
2020-08-25,2663.0000000000014,recorded
2020-08-26,3982.9999999999995,recorded
2020-08-27,3318.0000000000027,recorded
2020-08-28,3482.0000000000014,recorded
2020-08-29,1566.0,recorded
2020-08-30,1337.9999999999998,recorded
2020-08-31,3850.000000000004,recorded
