date,article,quantity_sold,average_unit_price_eur,transaction_lines
2021-03-04,.,2.0,0.0,1
2021-03-18,.,1.0,0.0,1
2021-04-04,.,1.0,0.0,1
2021-04-27,.,1.0,0.0,1
2021-07-10,.,2.0,0.0,1
2022-07-13,12 MACARON,1.0,10.0,1
2022-07-16,12 MACARON,1.0,10.0,1
2022-07-17,12 MACARON,3.0,10.0,3
2022-07-19,12 MACARON,1.0,10.0,1
2022-07-21,12 MACARON,1.0,10.0,1
2022-07-24,12 MACARON,1.0,10.0,1
2022-07-27,12 MACARON,1.0,10.0,1
2022-07-29,12 MACARON,2.0,10.0,2
2022-07-30,12 MACARON,1.0,10.0,1
2022-07-31,12 MACARON,2.0,10.0,2
2022-08-02,12 MACARON,2.0,10.0,1
2022-08-04,12 MACARON,2.0,10.0,2
2022-08-05,12 MACARON,1.0,10.0,1
2022-08-08,12 MACARON,1.0,10.0,1
2022-08-09,12 MACARON,1.0,10.0,1
2022-08-10,12 MACARON,1.0,10.0,1
2022-08-11,12 MACARON,3.0,10.0,3
2022-08-12,12 MACARON,1.0,10.0,1
2022-08-13,12 MACARON,2.0,10.0,2
2022-08-14,12 MACARON,2.0,10.0,2
2022-08-15,12 MACARON,1.0,10.0,1
2022-08-17,12 MACARON,3.0,10.0,3
2022-08-18,12 MACARON,2.0,10.0,1
2022-08-19,12 MACARON,1.0,10.0,1
2022-08-20,12 MACARON,2.0,10.0,2
2022-08-21,12 MACARON,5.0,10.0,4
2022-08-22,12 MACARON,3.0,10.0,2
2022-08-24,12 MACARON,2.0,10.0,2
2022-08-25,12 MACARON,2.0,10.0,2
2022-08-27,12 MACARON,2.0,10.0,2
2022-08-28,12 MACARON,5.0,10.0,4
2022-08-29,12 MACARON,1.0,10.0,1
2022-08-30,12 MACARON,2.0,10.0,2
2022-09-02,12 MACARON,1.0,10.0,1
2022-09-04,12 MACARON,1.0,10.0,1
2022-09-07,12 MACARON,1.0,10.0,1
2022-09-08,12 MACARON,1.0,10.0,1
2022-09-10,12 MACARON,1.0,10.0,1
2022-09-11,12 MACARON,1.0,10.0,1
2022-09-15,12 MACARON,1.0,10.0,1
2022-09-24,12 MACARON,1.0,10.0,1
2022-09-28,12 MACARON,1.0,10.0,1
2022-07-17,ARMORICAIN,1.0,2.5,1
2022-07-21,ARMORICAIN,2.0,2.5,1
2021-11-08,ARTICLE 295,1.0,0.0,1
2021-01-02,BAGUETTE,46.0,0.9,29
2021-01-03,BAGUETTE,36.0,0.9,28
2021-01-04,BAGUETTE,30.0,0.9,21
2021-01-05,BAGUETTE,29.0,0.9,20
2021-01-07,BAGUETTE,28.0,0.9,22
2021-01-08,BAGUETTE,17.0,0.9,15
2021-01-09,BAGUETTE,25.0,0.9,17
2021-01-10,BAGUETTE,36.0,0.9,25
2021-01-11,BAGUETTE,31.0,0.9,20
2021-01-12,BAGUETTE,29.0,0.9,22
2021-01-14,BAGUETTE,24.0,0.9,14
2021-01-15,BAGUETTE,19.0,0.9,13
2021-01-16,BAGUETTE,28.0,0.9,22
2021-01-17,BAGUETTE,37.0,0.9,23
2021-01-18,BAGUETTE,27.0,0.9,20
2021-01-19,BAGUETTE,21.0,0.9,18
2021-01-21,BAGUETTE,22.0,0.9,18
2021-01-22,BAGUETTE,28.0,0.9,17
2021-01-23,BAGUETTE,28.0,0.9,19
2021-01-24,BAGUETTE,35.0,0.9,23
2021-01-25,BAGUETTE,24.0,0.9,15
2021-01-26,BAGUETTE,34.0,0.9,18
2021-01-28,BAGUETTE,18.0,0.9,15
2021-01-29,BAGUETTE,27.0,0.9,18
2021-01-30,BAGUETTE,34.0,0.9,24
2021-01-31,BAGUETTE,30.0,0.9,23
2021-02-01,BAGUETTE,15.0,0.9,11
2021-02-02,BAGUETTE,24.0,0.9,16
2021-02-04,BAGUETTE,26.0,0.9,20
2021-02-05,BAGUETTE,30.0,0.9,16
2021-02-06,BAGUETTE,20.0,0.9,14
2021-02-07,BAGUETTE,30.0,0.9,24
2021-02-08,BAGUETTE,22.0,0.9,16
2021-02-09,BAGUETTE,30.0,0.9,16
2021-02-11,BAGUETTE,17.0,0.9,14
2021-02-12,BAGUETTE,18.0,0.9,10
2021-02-13,BAGUETTE,27.0,0.9,19
2021-02-14,BAGUETTE,50.0,0.9,36
2021-02-15,BAGUETTE,25.0,0.9,20
2021-02-16,BAGUETTE,22.0,0.9,15
2021-02-18,BAGUETTE,33.0,0.9,24
2021-02-19,BAGUETTE,28.0,0.9,24
2021-02-20,BAGUETTE,28.0,0.9,20
2021-02-21,BAGUETTE,54.0,0.9,36
2021-02-22,BAGUETTE,49.0,0.9,35
2021-02-23,BAGUETTE,32.0,0.9,26
2021-02-25,BAGUETTE,36.0,0.9,28
2021-02-26,BAGUETTE,31.0,0.9,21
2021-02-27,BAGUETTE,54.0,0.9,33
2021-02-28,BAGUETTE,75.0,0.9,46
2021-03-01,BAGUETTE,36.0,0.9,26
2021-03-02,BAGUETTE,31.0,0.9,22
2021-03-04,BAGUETTE,39.0,0.9,24
2021-03-05,BAGUETTE,44.0,0.9,29
2021-03-06,BAGUETTE,48.0,0.9,22
2021-03-07,BAGUETTE,49.0,0.9,33
2021-03-08,BAGUETTE,21.0,0.9,15
2021-03-09,BAGUETTE,36.0,0.9,26
2021-03-11,BAGUETTE,23.0,0.9,18
2021-03-12,BAGUETTE,35.0,0.9,13
2021-03-13,BAGUETTE,35.0,0.9,26
2021-03-14,BAGUETTE,48.0,0.9,30
2021-03-15,BAGUETTE,29.0,0.9,24
2021-03-16,BAGUETTE,26.0,0.9,17
2021-03-18,BAGUETTE,19.0,0.9,17
2021-03-19,BAGUETTE,28.0,0.9,15
2021-03-20,BAGUETTE,41.0,0.9,24
2021-03-21,BAGUETTE,38.0,0.9,25
2021-03-22,BAGUETTE,24.0,0.9,19
2021-03-23,BAGUETTE,23.0,0.9,16
2021-03-25,BAGUETTE,25.0,0.9,20
2021-03-26,BAGUETTE,34.0,0.9,22
2021-03-27,BAGUETTE,39.0,0.9,20
2021-03-28,BAGUETTE,49.0,0.9,31
2021-03-29,BAGUETTE,45.0,0.9,24
2021-03-30,BAGUETTE,30.0,0.9,24
2021-04-01,BAGUETTE,29.0,0.9,26
2021-04-02,BAGUETTE,35.0,0.9,23
2021-04-03,BAGUETTE,36.0,0.9,23
2021-04-04,BAGUETTE,91.0,0.9,49
2021-04-05,BAGUETTE,44.0,0.9,30
2021-04-06,BAGUETTE,29.0,0.9,19
2021-04-08,BAGUETTE,31.0,0.9,21
2021-04-09,BAGUETTE,26.0,0.9,18
2021-04-10,BAGUETTE,32.0,0.9,21
2021-04-11,BAGUETTE,53.0,0.9,30
2021-04-12,BAGUETTE,31.0,0.9,25
2021-04-13,BAGUETTE,29.0,0.9,22
2021-04-14,BAGUETTE,16.0,0.9,12
2021-04-15,BAGUETTE,24.0,0.9,17
2021-04-16,BAGUETTE,35.0,0.9,20
2021-04-17,BAGUETTE,34.0,0.9,24
2021-04-18,BAGUETTE,42.0,0.9,27
2021-04-19,BAGUETTE,35.0,0.9,22
2021-04-20,BAGUETTE,30.0,0.9,25
2021-04-21,BAGUETTE,26.0,0.9,19
2021-04-22,BAGUETTE,30.0,0.9,27
2021-04-23,BAGUETTE,34.0,0.9,25
2021-04-24,BAGUETTE,41.0,0.9,21
2021-04-25,BAGUETTE,53.0,0.9,34
2021-04-26,BAGUETTE,26.0,0.9,19
2021-04-27,BAGUETTE,32.0,0.9,23
2021-04-28,BAGUETTE,23.0,0.9,20
2021-04-29,BAGUETTE,28.0,0.9,19
2021-04-30,BAGUETTE,25.0,0.9,14
2021-05-01,BAGUETTE,31.0,0.9,23
2021-05-02,BAGUETTE,48.0,0.9,35
