article,total_quantity_sold,days_with_sales,first_sale_date,last_sale_date,typical_price_eur
TRADITIONAL BAGUETTE,118093.0,600,2021-01-02,2022-09-30,1.2
CROISSANT,29822.0,599,2021-01-02,2022-09-30,1.1
PAIN AU CHOCOLAT,25367.0,598,2021-01-02,2022-09-30,1.2
COUPE,23601.0,600,2021-01-02,2022-09-30,0.15
BANETTE,22870.0,600,2021-01-02,2022-09-30,1.05
BAGUETTE,22156.0,600,2021-01-02,2022-09-30,0.9
CEREAL BAGUETTE,7478.0,595,2021-01-02,2022-09-30,1.25
SPECIAL BREAD,5488.0,598,2021-01-02,2022-09-30,2.4
FORMULE SANDWICH,5285.0,543,2021-01-04,2022-09-30,6.5
TARTELETTE,5051.0,551,2021-01-21,2022-09-30,2.0
BOULE 400G,4851.0,597,2021-01-02,2022-09-30,1.5
CAMPAGNE,4366.0,595,2021-01-02,2022-09-30,1.8
COOKIE,3796.0,581,2021-01-02,2022-09-30,1.0
ECLAIR,3669.0,469,2021-01-24,2022-09-30,2.0
VIK BREAD,3636.0,365,2021-01-02,2022-09-30,2.5
COMPLET,3549.0,592,2021-01-02,2022-09-30,1.5
FICELLE,3427.0,589,2021-01-02,2022-09-30,0.6
MOISSON,3378.0,592,2021-01-02,2022-09-30,2.0
BANETTINE,3106.0,595,2021-01-02,2022-09-30,0.6
BOULE 200G,3094.0,578,2021-01-02,2022-09-30,1.1
PAIN BANETTE,3032.0,590,2021-01-02,2022-09-30,1.4
SANDWICH COMPLET,2911.0,528,2021-01-02,2022-09-30,4.5
PAIN AUX RAISINS,2741.0,582,2021-01-02,2022-09-30,1.4
PAIN,2475.0,572,2021-01-02,2022-09-30,1.15
KOUIGN AMANN,2390.0,486,2021-01-02,2022-09-30,2.1
CROISSANT AMANDES,2357.0,551,2021-01-05,2022-09-29,1.4
QUIM BREAD,2187.0,519,2021-01-02,2022-09-30,1.0
CAFE OU EAU,2155.0,488,2021-01-02,2022-09-30,1.0
CHAUSSON AUX POMMES,1941.0,527,2021-01-03,2022-09-29,1.4
PAIN CHOCO AMANDES,1917.0,526,2021-01-05,2022-09-30,1.5
BOISSON 33CL,1888.0,489,2021-01-04,2022-09-30,1.5
BAGUETTE GRAINE,1871.0,201,2021-01-03,2022-09-25,1.3
SAND JB EMMENTAL,1812.0,493,2021-01-02,2022-09-30,3.5
BRIOCHE,1711.0,513,2021-01-02,2022-09-30,5.0
GRAND FAR BRETON,1496.0,405,2021-01-02,2022-09-30,7.0
TRAITEUR,1466.0,315,2021-07-08,2022-09-27,7.6
SEIGLE,1430.0,541,2021-01-02,2022-09-30,1.8
PARIS BREST,1284.0,410,2021-01-21,2022-09-28,2.0
FINANCIER X5,1269.0,449,2021-01-02,2022-09-24,3.0
DEMI BAGUETTE,1146.0,490,2021-01-02,2022-09-28,0.45
FLAN,1087.0,404,2021-01-21,2022-09-30,2.0
SUCETTE,1061.0,307,2021-01-03,2022-09-30,0.3
MILLES FEUILLES,1054.0,318,2021-01-23,2022-09-30,2.0
GD KOUIGN AMANN,1018.0,309,2021-01-02,2022-09-25,7.5
DIVERS VIENNOISERIE,841.0,329,2021-01-02,2022-09-28,6.0
TARTELETTE FRAISE,812.0,167,2021-03-28,2022-09-11,3.0
FLAN ABRICOT,796.0,310,2021-01-22,2022-09-30,2.1
PT NANTAIS,756.0,243,2021-07-25,2022-09-24,3.5
FRAISIER,596.0,111,2021-04-02,2022-08-21,3.5
NANTAIS,595.0,161,2021-01-05,2021-12-23,2.5
DIVERS PATISSERIE,537.0,173,2021-01-02,2022-09-20,6.0
BOULE POLKA,533.0,397,2021-01-02,2022-09-30,1.6
SACHET VIENNOISERIE,512.0,270,2021-01-05,2022-07-28,4.0
TROPEZIENNE,508.0,209,2021-03-18,2022-09-21,2.0
DIVERS CONFISERIE,503.0,294,2021-01-03,2022-09-30,3.0
SAVARIN,467.0,149,2021-01-22,2022-09-11,2.0
SPECIAL BREAD KG,462.0,384,2021-01-02,2022-09-30,4.8
MACARON,450.0,59,2022-07-11,2022-09-29,1.0
NOIX JAPONAISE,447.0,175,2021-01-31,2022-09-26,2.0
BOTTEREAU,389.0,16,2022-02-08,2022-03-01,0.5
TARTE FRUITS 4P,384.0,184,2021-01-31,2022-09-24,9.0
GRANDE SUCETTE,344.0,161,2021-01-16,2022-09-17,0.6
PLAT 7.60E,329.0,113,2022-02-28,2022-09-30,7.6
DIVERS BOULANGERIE,323.0,173,2021-01-04,2022-09-30,2.0
FONDANT CHOCOLAT,318.0,131,2021-01-07,2021-08-23,2.5
ROYAL,290.0,71,2021-03-21,2022-09-25,3.5
TARTE FRUITS 6P,283.0,153,2021-01-30,2022-09-25,12.0
PALET BRETON,271.0,79,2022-04-18,2022-09-28,1.5
CHOU CHANTILLY,271.0,107,2021-01-23,2022-09-11,2.0
DIVERS SANDWICHS,237.0,86,2021-01-04,2022-07-16,2.5
VIENNOISE,218.0,50,2021-07-07,2021-09-05,1.1
GAL FRANGIPANE 4P,214.0,45,2021-01-02,2022-01-28,8.0
GD FAR BRETON,174.0,79,2021-03-05,2022-09-27,7.5
TARTE FRAISE 4PER,167.0,89,2021-03-28,2022-08-28,12.0
DEMI PAIN,163.0,131,2021-01-19,2022-09-25,0.65
PLAT 8.30E,147.0,71,2022-03-06,2022-09-30,8.3
PAIN S/SEL,146.0,116,2021-01-07,2022-08-18,1.5
PAILLE,133.0,59,2022-02-25,2022-05-29,1.5
GACHE,130.0,91,2021-01-02,2021-07-25,5.0
SABLE F  P,129.0,40,2022-07-25,2022-09-30,1.6
GAL FRANGIPANE 6P,128.0,39,2021-01-02,2022-01-28,12.0
TARTE FRAISE 6P,124.0,75,2021-03-28,2022-09-17,19.5
SACHET DE CROUTON,123.0,80,2021-01-14,2022-08-22,1.6
RELIGIEUSE,119.0,42,2021-07-12,2021-09-20,2.5
PLAT 7.00,112.0,65,2022-03-01,2022-09-22,7.0
ST HONORE,110.0,53,2021-07-12,2022-08-29,3.0
GD NANTAIS,109.0,58,2021-07-31,2022-07-11,11.0
FRAMBOISIER,107.0,33,2021-12-24,2022-09-26,3.5
CARAMEL NOIX,100.0,47,2022-07-02,2022-09-30,2.4
GAL POMME 4P,99.0,35,2021-01-02,2022-01-28,8.0
DIVERS BOISSONS,87.0,62,2021-05-29,2022-09-22,2.0
BRIOCHETTE,86.0,27,2021-02-21,2022-04-17,0.8
TRIANGLES,82.0,30,2021-03-11,2022-03-07,2.5
CHOCOLAT,82.0,64,2021-01-07,2022-07-29,1.5
ROYAL 4P,78.0,45,2021-01-24,2022-09-09,12.0
12 MACARON,70.0,42,2022-07-13,2022-09-28,10.0
BAGUETTE APERO,69.0,60,2021-01-22,2022-07-01,4.5
ROYAL 6P,67.0,50,2021-02-23,2022-09-30,18.0
TARTE FINE,66.0,36,2021-11-26,2022-07-24,7.0
MERINGUE,65.0,35,2022-02-08,2022-06-06,1.0
GAL POMME 6P,62.0,24,2021-01-02,2022-01-23,12.0
TARTELETTE CHOC,61.0,31,2021-04-04,2022-05-28,2.5
DELICETROPICAL,61.0,19,2021-07-20,2021-09-20,3.0
BROWNIES,46.0,28,2021-07-12,2022-06-23,2.5
PAIN DE MIE,40.0,14,2021-04-05,2022-01-20,2.0
ENTREMETS,38.0,9,2021-12-11,2021-12-31,3.5
NID DE POULE,35.0,2,2021-04-03,2021-04-04,2.5
TROPEZIENNE FRAMBOISE,33.0,18,2021-03-18,2022-07-03,2.1
GAL POIRE CHOCO 4P,24.0,12,2021-01-09,2022-01-30,8.0
ECLAIR FRAISE PISTACHE,22.0,13,2021-02-28,2022-07-22,2.1
FINANCIER,21.0,15,2021-05-11,2022-07-28,0.7
PAIN SUISSE PEPITO,21.0,7,2022-08-06,2022-09-25,1.6
BRIOCHE DE NOEL,19.0,12,2021-12-16,2022-01-03,6.0
"PLATPREPARE7,00",17.0,5,2021-07-12,2021-11-06,7.0
GAL POIRE CHOCO 6P,15.0,10,2021-01-09,2022-01-29,12.0
FORMULE PLAT PREPARE,11.0,4,2021-07-12,2021-11-05,8.0
BUCHE 4PERS,11.0,3,2021-12-24,2021-12-26,14.0
CRUMBLE,9.0,5,2021-05-02,2022-02-22,2.0
PLAT,9.0,8,2022-03-03,2022-08-23,3.95
"PLATPREPARE6,50",8.0,3,2021-07-12,2021-11-05,6.5
REDUCTION SUCREES 12,8.0,2,2021-12-31,2022-06-05,10.0
BUCHE 6PERS,8.0,3,2021-12-24,2021-12-26,21.0
THE,7.0,6,2021-02-06,2021-11-21,1.5
.,7.0,5,2021-03-04,2021-07-10,0.0
PALMIER,6.0,2,2022-02-24,2022-03-01,1.0
SAND JB,5.0,5,2021-01-11,2021-02-01,3.0
PT PLATEAU SALE,4.0,2,2021-12-24,2021-12-31,10.0
ARMORICAIN,3.0,2,2022-07-17,2022-07-21,2.5
PAIN GRAINES,3.0,3,2021-07-10,2022-07-15,2.0
"PLATPREPARE5,50",3.0,2,2021-07-12,2021-07-13,5.5
TULIPE,3.0,1,2022-08-29,2022-08-29,3.5
GUERANDAIS,3.0,2,2022-03-26,2022-07-03,3.5
CRUMBLECARAMEL OU PISTAE,3.0,1,2021-07-24,2021-07-24,6.0
FORMULE PATE,2.0,2,2022-03-23,2022-07-12,6.5
BUCHE 8PERS,2.0,1,2021-12-24,2021-12-24,28.0
PLAQUE TARTE 25P,2.0,1,2022-07-23,2022-07-23,35.0
GALETTE 8 PERS,2.0,2,2021-01-10,2021-01-22,16.0
GD PLATEAU SALE,2.0,2,2021-12-24,2021-12-25,18.0
TARTELETTE COCKTAIL,2.0,1,2022-09-05,2022-09-05,3.0
PATES,2.0,2,2021-01-04,2021-07-13,4.5
ARTICLE 295,1.0,1,2021-11-08,2021-11-08,0.0
