date,reference_date,actual,predicted,absolute_error,status
2022-01-01,2021-12-25,40.0,,,missing_reference
2022-01-02,2021-12-26,608.0,936.0000000000001,328.0000000000001,evaluated
2022-01-03,2021-12-27,3065.0000000000005,4007.0000000000005,942.0,evaluated
2022-01-04,2021-12-28,2314.9999999999995,1572.9999999999995,742.0,evaluated
2022-01-05,2021-12-29,1845.0000000000005,3552.0000000000023,1707.0000000000018,evaluated
2022-01-06,2021-12-30,868.0000000000001,2424.9999999999995,1556.9999999999995,evaluated
2022-01-07,2021-12-31,2902.000000000002,1544.9999999999998,1357.000000000002,evaluated
2022-01-08,2022-01-01,1891.0000000000002,40.0,1851.0000000000002,evaluated
2022-01-09,2022-01-02,575.0,608.0,33.0,evaluated
2022-01-10,2022-01-03,3056.0000000000023,3065.0000000000005,8.999999999998181,evaluated
2022-01-11,2022-01-04,3178.0000000000014,2314.9999999999995,863.0000000000018,evaluated
2022-01-12,2022-01-05,3181.000000000001,1845.0000000000005,1336.0000000000005,evaluated
2022-01-13,2022-01-06,3316.0000000000014,868.0000000000001,2448.0000000000014,evaluated
2022-01-14,2022-01-07,3199.0000000000023,2902.000000000002,297.00000000000045,evaluated
2022-01-15,2022-01-08,1690.0000000000005,1891.0000000000002,200.99999999999977,evaluated
2022-01-16,2022-01-09,1039.0,575.0,464.0,evaluated
2022-01-17,2022-01-10,3499.000000000001,3056.0000000000023,442.99999999999864,evaluated
2022-01-18,2022-01-11,1972.9999999999995,3178.0000000000014,1205.0000000000018,evaluated
2022-01-19,2022-01-12,2360.0,3181.000000000001,821.0000000000009,evaluated
2022-01-20,2022-01-13,3863.000000000002,3316.0000000000014,547.0000000000005,evaluated
2022-01-21,2022-01-14,3148.0000000000014,3199.0000000000023,51.00000000000091,evaluated
2022-01-22,2022-01-15,1788.0,1690.0000000000005,97.99999999999955,evaluated
2022-01-23,2022-01-16,1767.9999999999995,1039.0,728.9999999999995,evaluated
2022-01-24,2022-01-17,2907.9999999999995,3499.000000000001,591.0000000000014,evaluated
2022-01-25,2022-01-18,1999.0000000000007,1972.9999999999995,26.000000000001137,evaluated
2022-01-26,2022-01-19,2817.000000000001,2360.0,457.0000000000009,evaluated
2022-01-27,2022-01-20,5468.999999999999,3863.000000000002,1605.9999999999973,evaluated
2022-01-28,2022-01-21,2794.0000000000005,3148.0000000000014,354.0000000000009,evaluated
2022-01-29,2022-01-22,1935.0000000000005,1788.0,147.00000000000045,evaluated
2022-01-30,2022-01-23,1488.0000000000002,1767.9999999999995,279.9999999999993,evaluated
2022-01-31,2022-01-24,3529.000000000002,2907.9999999999995,621.0000000000023,evaluated
2022-02-01,2022-01-25,2519.000000000001,1999.0000000000007,520.0000000000002,evaluated
2022-02-02,2022-01-26,3751.0000000000014,2817.000000000001,934.0000000000005,evaluated
2022-02-03,2022-01-27,2948.9999999999995,5468.999999999999,2519.9999999999995,evaluated
2022-02-04,2022-01-28,3210.000000000001,2794.0000000000005,416.00000000000045,evaluated
2022-02-05,2022-01-29,1313.9999999999995,1935.0000000000005,621.0000000000009,evaluated
2022-02-06,2022-01-30,658.0,1488.0000000000002,830.0000000000002,evaluated
2022-02-07,2022-01-31,4148.000000000001,3529.000000000002,618.9999999999991,evaluated
2022-02-08,2022-02-01,2269.9999999999995,2519.000000000001,249.00000000000136,evaluated
2022-02-09,2022-02-02,2406.0000000000005,3751.0000000000014,1345.000000000001,evaluated
2022-02-10,2022-02-03,2857.0000000000005,2948.9999999999995,91.99999999999909,evaluated
2022-02-11,2022-02-04,2113.0000000000005,3210.000000000001,1097.0000000000005,evaluated
2022-02-12,2022-02-05,1475.0,1313.9999999999995,161.00000000000045,evaluated
2022-02-13,2022-02-06,424.0,658.0,234.0,evaluated
2022-02-14,2022-02-07,4300.000000000002,4148.000000000001,152.0000000000009,evaluated
2022-02-15,2022-02-08,2003.9999999999998,2269.9999999999995,265.9999999999998,evaluated
2022-02-16,2022-02-09,3005.0000000000014,2406.0000000000005,599.0000000000009,evaluated
2022-02-17,2022-02-10,3878.0000000000005,2857.0000000000005,1021.0,evaluated
2022-02-18,2022-02-11,2714.0000000000005,2113.0000000000005,601.0,evaluated
2022-02-19,2022-02-12,1427.9999999999995,1475.0,47.000000000000455,evaluated
2022-02-20,2022-02-13,532.0,424.0,108.0,evaluated
2022-02-21,2022-02-14,3524.000000000001,4300.000000000002,776.0000000000009,evaluated
2022-02-22,2022-02-15,2937.0000000000014,2003.9999999999998,933.0000000000016,evaluated
2022-02-23,2022-02-16,2481.0,3005.0000000000014,524.0000000000014,evaluated
2022-02-24,2022-02-17,3337.000000000001,3878.0000000000005,540.9999999999995,evaluated
2022-02-25,2022-02-18,2424.0000000000005,2714.0000000000005,290.0,evaluated
2022-02-26,2022-02-19,1882.0000000000005,1427.9999999999995,454.0000000000009,evaluated
2022-02-27,2022-02-20,1435.0,532.0,903.0,evaluated
2022-02-28,2022-02-21,3445.000000000003,3524.000000000001,78.99999999999773,evaluated
2022-03-01,2022-02-22,2356.0000000000014,2937.0000000000014,581.0,evaluated
2022-03-02,2022-02-23,3200.000000000002,2481.0,719.0000000000018,evaluated
2022-03-03,2022-02-24,3972.0000000000014,3337.000000000001,635.0000000000005,evaluated
2022-03-04,2022-02-25,2738.0000000000005,2424.0000000000005,314.0,evaluated
2022-03-05,2022-02-26,1250.0000000000005,1882.0000000000005,632.0,evaluated
2022-03-06,2022-02-27,0.0,1435.0,1435.0,evaluated
2022-03-07,2022-02-28,736.0,3445.000000000003,2709.000000000003,evaluated
2022-03-08,2022-03-01,2755.0,2356.0000000000014,398.99999999999864,evaluated
2022-03-09,2022-03-02,5594.000000000001,3200.000000000002,2393.999999999999,evaluated
2022-03-10,2022-03-03,3134.0000000000005,3972.0000000000014,838.0000000000009,evaluated
2022-03-11,2022-03-04,2131.000000000001,2738.0000000000005,606.9999999999995,evaluated
2022-03-12,2022-03-05,1673.0,1250.0000000000005,422.99999999999955,evaluated
2022-03-13,2022-03-06,40.0,0.0,40.0,evaluated
2022-03-14,2022-03-07,3129.0000000000014,736.0,2393.0000000000014,evaluated
2022-03-15,2022-03-08,1595.0,2755.0,1160.0,evaluated
2022-03-16,2022-03-09,2918.000000000001,5594.000000000001,2676.0,evaluated
2022-03-17,2022-03-10,2808.9999999999995,3134.0000000000005,325.0000000000009,evaluated
2022-03-18,2022-03-11,2298.0,2131.000000000001,166.9999999999991,evaluated
2022-03-19,2022-03-12,1386.9999999999995,1673.0,286.00000000000045,evaluated
2022-03-20,2022-03-13,488.00000000000006,40.0,448.00000000000006,evaluated
2022-03-21,2022-03-14,3170.9999999999995,3129.0000000000014,41.99999999999818,evaluated
2022-03-22,2022-03-15,2130.9999999999995,1595.0,535.9999999999995,evaluated
2022-03-23,2022-03-16,2876.0000000000005,2918.000000000001,42.000000000000455,evaluated
2022-03-24,2022-03-17,1492.9999999999995,2808.9999999999995,1316.0,evaluated
